coefficient_name,value,constrain
coef_cars1_drivers_2,0,T
coef_cars1_drivers_3,0,T
coef_cars1_num_workers_clip_3,0,T
coef_cars1_hh_income_30_up,0,T
coef_cars4_asc,-5.313,F
coef_cars3_asc,-3.2502,F
coef_cars2_asc,-1.0846,F
coef_cars2_hh_income_30_up,0.0083,F
coef_cars3_hh_income_30_up,0.011,F
coef_cars4_hh_income_30_up,0.0147,F
coef_cars1_hh_income_0_30k,0.0383,F
coef_cars2_hh_income_0_30k,0.054,F
coef_cars3_hh_income_0_30k,0.0559,F
coef_cars4_hh_income_0_30k,0.0619,F
coef_cars2_num_workers_clip_3,0.2936,F
coef_cars3_num_workers_clip_3,0.6389,F
coef_cars4_num_workers_clip_3,0.8797,F
coef_cars1_asc,1.1865,F
coef_cars1_drivers_4_up,2.0107,F
coef_cars4_drivers_2,2.6616,F
coef_cars2_drivers_2,3.0773,F
coef_cars3_drivers_2,3.1962,F
coef_cars2_drivers_3,3.5401,F
coef_cars4_drivers_3,5.208,F
coef_cars3_drivers_3,5.5131,F
coef_cars2_drivers_4_up,6.3662,F
coef_cars3_drivers_4_up,8.5148,F
coef_cars4_drivers_4_up,9.5807,F
