TAZ,SWTAZ,mcHalo,Central,NE,NW,SE,SW
3743,90696,0,203,0,0,0,2031
3759,90712,0,468,47,47,47,47
3762,90715,0,46,0,0,0,461
3767,90720,0,301,30,30,30,30
3797,90750,0,690,66,66,66,358
3814,90767,0,319,0,0,0,3194
3818,90771,0,22,0,0,0,219
3853,90806,0,48,0,475,0,0
3854,90807,0,120,0,0,0,1198
3882,90835,0,51,509,0,0,0
3884,90837,0,445,35,1021,35,35
4024,91666,0,73,0,732,0,0
4168,92656,0,796,0,0,0,7964
4175,92663,0,460,46,46,46,46
4185,92673,0,749,72,72,72,326
4203,92691,0,13,0,0,0,129
4212,92700,0,10,0,0,104,0
4221,92709,0,284,28,28,28,28
4242,92730,0,49,487,0,0,0
4292,93602,0,5912,4871,8887,448,1927
4293,93603,0,73,7,7,7,7
4296,93606,0,1149,966,1564,81,1146
4305,93658,0,1059,104,313,104,104
4322,93675,0,635,64,64,64,64
4416,93769,0,2221,2753,422,924,518
4417,93770,0,491,49,49,49,49
4424,93777,0,39,0,390,0,0
4430,93783,0,308,26,506,26,26
4433,93786,0,185,766,473,0,615
4435,93788,0,1036,104,104,104,104
4436,93789,0,1104,886,97,97,621
4437,93790,0,16,156,0,0,0
4439,93792,0,38,384,0,0,0
4442,93795,0,767,67,1014,67,67
4445,93798,0,61,90,185,0,336
4449,93802,0,166,0,1659,0,0
4450,93803,0,122,1223,0,0,0
4451,93804,0,345,30,453,30,30
4452,93805,0,39,0,386,0,0
4501,95601,0,73,0,732,0,0
4502,95602,0,979,1738,79,335,79
4503,95603,0,7178,20387,743,504,1796
4504,95604,0,683,1291,56,56,56
4505,95605,0,65,652,0,0,0
4516,95616,0,1260,126,126,126,126
4519,95619,0,37,366,0,0,0
4522,95622,0,2700,9151,180,180,180
4538,95653,0,39,390,0,0,0
4545,95660,0,52,0,0,515,0
4547,95662,0,73,732,0,0,0
4549,95664,0,372,37,37,37,37
4553,95668,0,145,1447,0,0,0
4554,95669,0,353,420,30,30,142
4555,95670,0,100,996,0,0,0
4562,95677,0,487,49,49,49,49
4563,95678,0,104,1038,0,0,0
4564,95679,0,71,708,0,0,0
4579,95694,0,137,1366,0,0,0
4584,95699,0,36,355,0,0,0
4591,95706,0,56,558,0,0,0
4605,95720,0,63,630,0,0,0
4610,95725,0,28,284,0,0,0
4627,95742,0,159,1593,0,0,0
4644,95759,0,537,54,54,54,54
4655,95770,0,48,476,0,0,0
4665,95780,0,1185,625,113,113,113
4670,95785,0,44,436,0,0,0
4748,95863,0,75,752,0,0,0
4754,95869,0,134,1343,0,0,0
4756,95871,0,834,422,80,80,80
4774,95889,0,3016,1044,289,813,289
4792,95907,0,1403,140,140,140,140
4798,95913,0,29,0,0,292,0
4894,96656,0,406,41,41,41,41
4895,96657,0,46,459,0,0,0
4910,96672,0,1086,109,109,109,109
4911,96673,0,146,1460,0,0,0
4915,96677,0,32,0,0,318,0
4920,96682,0,99,0,611,0,383
4932,96694,0,140,1402,0,0,0
4934,96696,0,292,29,29,29,29
4954,96716,0,657,555,52,382,611
4967,96729,0,2555,1281,245,245,245
3726,90679,0,556,52,52,52,462
3732,90685,0,456,46,46,46,46
3734,90687,0,435,345,41,41,41
3771,90724,0,37,0,366,0,0
3772,90725,0,29,292,0,0,0
3773,90726,0,238,2143,0,0,232
3774,90727,0,88,0,884,0,0
3810,90763,0,35,0,0,0,347
3873,90826,0,3719,364,1203,364,364
3875,90828,0,460,46,46,46,46
3887,90840,0,15,0,0,0,146
3888,90841,0,48,481,0,0,0
3890,90843,0,15,0,0,0,146
3940,90893,0,882,88,88,88,88
4192,92680,0,15,0,0,0,148
4224,92712,0,240,24,24,24,24
4230,92718,0,81,0,435,0,378
4237,92725,0,129,500,0,494,292
4325,93678,0,51,508,0,0,0
4346,93699,0,687,1071,324,56,56
4392,93745,0,48,479,0,0,0
4393,93746,0,114,11,11,11,11
4395,93748,0,331,33,33,33,33
4396,93749,0,625,57,57,57,567
4397,93750,0,65,0,645,0,0
4398,93751,0,366,34,337,34,34
4399,93752,0,1272,106,1685,106,621
4401,93754,0,1296,117,1416,117,117
4402,93755,0,1121,112,112,112,112
4404,93757,0,31,313,0,0,0
4406,93759,0,190,0,738,0,1164
4407,93760,0,99,986,0,0,0
4408,93761,0,28,280,0,0,0
4409,93762,0,2024,488,1410,187,187
4410,93763,0,52,0,520,0,0
4411,93764,0,116,652,509,0,0
4570,95685,0,611,61,61,61,61
4620,95735,0,137,1373,0,0,0
4679,95794,0,20,200,0,0,0
4680,95795,0,29,0,292,0,0
4682,95797,0,273,2730,0,0,0
4683,95798,0,364,3644,0,0,0
4765,95880,0,186,1864,0,0,0
4766,95881,0,42,423,0,0,0
4767,95882,0,84,835,0,0,0
4768,95883,0,413,41,41,41,41
4802,95917,0,30,303,0,0,0
4805,95920,0,180,1795,0,0,0
4807,95922,0,17,173,0,0,0
4808,95923,0,9,92,0,0,0
4889,96651,0,825,83,83,83,83
4981,96743,0,60,600,0,0,0
5031,97943,0,112,202,0,0,915
3977,90931,0,80,0,803,0,0
3978,90932,0,199,20,20,20,20
3979,90933,0,2171,216,216,216,317
3982,90936,0,2922,865,1082,277,411
3983,90937,0,2277,1827,678,198,1077
3992,90946,0,3538,354,354,354,354
3993,90947,0,512,51,51,51,51
3994,90948,0,336,34,34,34,34
3995,90949,0,57,572,0,0,0
3996,90950,0,14,140,0,0,0
3998,90952,0,10821,2824,974,974,9967
4001,90955,0,720,72,72,72,72
4002,90956,0,818,59,59,59,2386
4004,90958,0,240,24,24,24,24
4005,90959,0,567,4498,1171,0,0
4253,92931,0,2017,2826,175,175,175
4254,92932,0,671,577,62,62,62
4255,92933,0,703,15,15,15,5555
4256,92934,0,2778,243,243,243,3769
4257,92935,0,129,336,0,0,956
4258,92936,0,1312,131,131,131,131
4260,92938,0,20,0,0,0,198
4262,92940,0,56,0,0,0,556
4263,92941,0,63,0,0,0,633
4270,92948,0,12474,4681,1117,1369,10394
4271,92949,0,5492,988,661,493,5474
4275,92953,0,26,0,0,0,260
4278,92956,0,41,410,0,0,0
4280,92958,0,619,59,59,59,395
4471,93931,0,273,27,27,27,27
4472,93932,0,359,23,1308,23,23
4473,93933,0,1260,453,123,123,123
4478,93938,0,103,0,1031,0,0
4480,93940,0,28,278,0,0,0
4483,93943,0,87,460,414,0,0
4487,93947,0,514,33,994,33,878
4488,93948,0,6271,1392,3777,585,815
4492,93952,0,75,410,337,0,0
4493,93953,0,433,492,3834,0,0
4494,93954,0,175,1031,719,0,0
4498,93958,0,61,422,0,0,185
4813,95935,0,551,1969,30,30,566
4814,95936,0,1021,4160,39,2263,39
4815,95937,0,431,252,41,41,41
4816,95938,0,201,265,18,18,18
4818,95940,0,242,2417,0,0,0
4819,95941,0,537,54,54,54,54
4820,95942,0,71,714,0,0,0
4821,95943,0,52,520,0,0,0
5010,96935,0,448,42,42,42,296
5012,96937,0,738,374,71,71,71
5014,96939,0,229,23,23,23,23
5016,96941,0,152,15,15,15,15
5018,96943,0,412,41,41,41,41
5027,97939,0,34,0,336,0,0
5028,97940,0,318,1823,0,0,1353
5029,97941,0,3577,6057,300,300,300
5030,97942,0,37,367,0,0,0
4265,92943,0,464,315,37,37,656
4474,93934,0,941,1072,384,81,81
4475,93935,0,1371,338,135,135,135
4476,93936,0,186,695,1166,0,0
4477,93937,0,209,244,796,11,11
4809,95931,0,1489,3544,443,296,367
4810,95932,0,66,146,0,0,515
4811,95933,0,608,2486,34,34,314
4812,95934,0,4275,2473,1234,398,398
5019,97931,0,3497,854,941,331,1088
5021,97933,0,1237,124,124,124,124
5022,97934,0,36,364,0,0,0
5023,97935,0,522,656,46,46,46
5024,97936,0,2458,2612,1040,200,1530
5025,97937,0,868,820,79,79,79
5026,97938,0,6389,2275,1268,751,1320
5032,97944,0,7790,7753,707,707,846
5033,97945,0,2119,2281,191,191,191
5035,97947,0,422,42,42,42,42
5036,97948,0,485,265,46,46,46
5037,97949,0,240,24,24,24,24
5039,97951,0,1539,6070,960,85,85
5040,97952,0,616,693,52,52,393
5041,97953,0,155,224,13,13,13
5042,97954,0,4437,1394,1181,392,3781
5043,97955,0,74,0,0,0,739
5044,97956,0,8268,1409,1025,1001,7309
5045,97957,0,4975,484,484,919,1399
5047,97959,0,702,674,64,64,64
5049,97961,0,352,30,213,30,333
5050,97962,0,1792,1874,162,162,162
5051,97963,0,4842,6491,413,999,835
5052,97964,0,148,954,252,0,275
5053,97965,0,25,250,0,0,0
5054,97966,0,25,0,0,0,254
5055,97967,0,1074,103,318,103,316
5057,97969,0,19,193,0,0,0
5058,97970,0,1057,100,100,100,629
5059,97971,0,810,4440,365,34,34
5060,97972,0,641,743,55,55,288
5061,97973,0,15380,15041,1827,1297,11168
5062,97974,0,56,556,0,0,0
5063,97975,0,75,410,342,0,0
5065,97977,0,211,21,21,21,21
5066,97978,0,1948,1970,162,656,1193
