coefficient_name,value,constrain
coef_duration2,0,F
coef_duration3,0.959,F
coef_duration4,1.609,F
coef_duration5,2.544,F
coef_duration6,2.898,F
coef_duration7,3.278,F
coef_duration8,3.518,F
coef_duration9,3.518,F
coef_duration10,2.696,F
coef_duration11,2.696,F
coef_duration12,3.767,F
coef_duration13,3.767,F
coef_duration14,2.874,F
coef_duration15,2.874,F
coef_duration16,2.964,F
coef_duration17,2.964,F
coef_duration18,2.964,F
coef_departHour5,0,F
coef_departHour6,0,F
coef_departHour7,1.033,F
coef_departHour8,1.944,F
coef_departHour9,2.216,F
coef_departHour10,1.459,F
coef_departHour11,1.423,F
coef_departHour12,1.423,F
coef_departHour13,1.392,F
coef_departHour14,1.392,F
coef_departHour15,2.457,F
coef_departHour16,2.457,F
coef_departHour17,3.027,F
coef_departHour18,3.027,F
coef_arriveHour5,0,F
coef_arriveHour6,0,F
coef_arriveHour7,0,F
coef_arriveHour8,0,F
coef_arriveHour9,0,F
coef_arriveHour10,0,F
coef_arriveHour11,0,F
coef_arriveHour12,0,F
coef_arriveHour13,0,F
coef_arriveHour14,0,F
coef_arriveHour15,0,F
coef_arriveHour16,0,F
coef_arriveHour17,0,F
coef_arriveHour18,0,F
coef_arriveHour19,0,F
coef_arriveHour20,0,F
coef_arriveHour21,-1.174,F
coef_arriveHour22,-1.457,F
coef_arriveHour23,-2.44,F
