TAZ,Central,NE,NW,SE,SW
3743,0.000641485,0,0,0,0.011744772
3759,0.001478893,0.000164727,0.000511548,0.001199194,0.000271789
3762,0.000145361,0,0,0,0.002665849
3767,0.000951168,0.000105145,0.00032652,0.000765443,0.000173483
3797,0.002180419,0.000231319,0.000718344,0.001683974,0.002070226
3814,0.001008049,0,0,0,0.018470115
3818,6.95206E-05,0,0,0,0.001266423
3853,0.000151681,0,0.005169899,0,0
3854,0.000379203,0,0,0,0.006927739
3882,0.000161161,0.001783962,0,0,0
3884,0.001406212,0.000122669,0.011112562,0.000893017,0.000202396
4024,0.000230682,0,0.007967087,0,0
4168,0.002515381,0,0,0,0.046053849
4175,0.001453612,0.000161222,0.000500664,0.001173679,0.000266007
4185,0.00236686,0.000252348,0.000783648,0.001837063,0.001885178
4203,4.10804E-05,0,0,0,0.000745975
4212,3.16003E-05,0,0,0.002653535,0
4221,0.000897448,9.81354E-05,0.000304752,0.000714413,0.000161917
4242,0.000154841,0.001706855,0,0,0
4292,0.018682079,0.017072059,0.096726093,0.011430613,0.011143366
4293,0.000230682,2.45339E-05,7.6188E-05,0.000178603,4.04793E-05
4296,0.003630871,0.003385672,0.017022573,0.002066696,0.006627036
4305,0.003346469,0.000364503,0.003406691,0.002653535,0.000601406
4322,0.002006617,0.00022431,0.000696576,0.001632945,0.000370096
4416,0.00701842,0.009648815,0.004593047,0.023575639,0.002995466
4417,0.001551573,0.000171737,0.000533316,0.001250223,0.000283355
4424,0.000123241,0,0.004244759,0,0
4430,0.000973288,9.11258E-05,0.005507303,0.000663384,0.000150352
4433,0.000584605,0.002684705,0.005148131,0,0.003556393
4435,0.003273788,0.000364503,0.001131936,0.002653535,0.000601406
4436,0.00348867,0.003105285,0.001055748,0.002474932,0.00359109
4437,5.06E-05,0.000546755,0,0,0
4439,0.000120081,0.001345857,0,0,0
4442,0.002423741,0.000234824,0.011036374,0.001709489,0.000387444
4445,0.000192762,0.000315435,0.00201354,0,0.001943005
4449,0.000524564,0,0.018056553,0,0
4450,0.000385523,0.004286415,0,0,0
4451,0.001090209,0.000105145,0.004930451,0.000765443,0.000173483
4452,0.000123241,0,0.004201223,0,0
4501,0.000230682,0,0.007967087,0,0
4502,0.003093666,0.006091406,0.000859836,0.008547445,0.000456838
4503,0.022682673,0.071453105,0.008086811,0.012859439,0.010385825
4504,0.002158298,0.004524744,0.000609504,0.001428827,0.000323834
4505,0.000205402,0.002285154,0,0,0
4516,0.003981634,0.000441609,0.001371384,0.00321486,0.000728627
4519,0.000116921,0.00128277,0,0,0
4522,0.008532073,0.03207276,0.00195912,0.004592657,0.001040896
4538,0.000123241,0.001366886,0,0,0
4545,0.000164321,0,0,0.013140102,0
4547,0.000230682,0.00256554,0,0,0
4549,0.00117553,0.000129679,0.000402708,0.000944046,0.000213962
4553,0.000458204,0.005071499,0,0,0
4554,0.00111549,0.001472031,0.00032652,0.000765443,0.000821151
4555,0.000316003,0.003490817,0,0,0
4562,0.001538933,0.000171737,0.000533316,0.001250223,0.000283355
4563,3.29E-04,0.00363802,0,0,0
4564,0.000224362,0.002481424,0,0,0
4579,0.000432924,0.004787607,0,0,0
4584,0.000113761,0.001244217,0,0,0
4591,0.000176962,0.001955699,0,0,0
4605,0.000199082,0.002208047,0,0,0
4610,8.84808E-05,0.000995374,0,0,0
4627,0.000502444,0.005583205,0,0,0
4644,0.001696934,0.000189261,0.000587736,0.001377797,0.000312269
4655,0.000151681,0.001668302,0,0,0
4665,0.003744632,0.002190523,0.001229892,0.002883168,0.000653451
4670,0.000139041,0.001528109,0,0,0
4748,0.000237002,0.002635637,0,0,0
4754,0.000423444,0.004706996,0,0,0
4756,0.002635462,0.001479041,0.00087072,0.002041181,0.00046262
4774,0.009530641,0.003659049,0.003145476,0.0207435,0.001671216
4792,0.004433518,0.000490677,0.00152376,0.003572066,0.000809585
4798,9.16408E-05,0,0,0.00745031,0
4894,0.001282971,0.000143698,0.000446244,0.001046105,0.000237093
4895,0.000145361,0.00160872,0,0,0
4910,0.003431789,0.000382027,0.001186356,0.002781109,0.00063032
4911,0.000461364,0.005117062,0,0,0
4915,0.000101121,0,0,0.008113694,0
4920,0.000312843,0,0.006650123,0,0.002214795
4932,0.000442404,0.004913781,0,0,0
4934,0.000922728,0.00010164,0.000315636,0.000739928,0.0001677
4954,0.002076138,0.001945184,0.000565968,0.009746638,0.003533262
4967,0.008073869,0.004489696,0.00266658,0.006251116,0.001416775
3726,0.001756975,0.000182252,0.000565968,0.001326768,0.002671632
3732,0.001440972,0.000161222,0.000500664,0.001173679,0.000266007
3734,0.001374612,0.001209169,0.000446244,0.001046105,0.000237093
3771,0.000116921,0,0.003983543,0,0
3772,9.16408E-05,0.001023412,0,0,0
3773,0.000752086,0.007510865,0,0,0.001341599
3774,0.000278082,0,0.009621455,0,0
3810,0.000110601,0,0,0,0.002006615
3873,0.01175214,0.001275761,0.01309345,0.009287373,0.002104922
3875,0.001453612,0.000161222,0.000500664,0.001173679,0.000266007
3887,4.74004E-05,0,0,0,0.000844282
3888,0.000151681,0.001685826,0,0,0
3890,4.74004E-05,0,0,0,0.000844282
3940,0.002787144,0.000308426,0.000957792,0.002245299,0.000508882
4192,4.74004E-05,0,0,0,0.000855848
4224,0.000758406,8.41161E-05,0.000261216,0.000612354,0.000138786
4230,0.000255962,0,0.004734539,0,0.002185881
4237,0.000407643,0.001752418,0,0.012604292,0.001688564
4325,0.000161161,0.001780457,0,0,0
4346,0.002170938,0.00375368,0.003526415,0.001428827,0.000323834
4392,0.000151681,0.001678817,0,0,0
4393,0.000360243,3.85532E-05,0.000119724,0.000280662,6.36103E-05
4395,0.001045969,0.00011566,0.000359172,0.000841987,0.000190831
4396,0.001975017,0.000199776,0.000620388,0.001454341,0.003278821
4397,0.000205402,0,0.007020179,0,0
4398,0.00115657,0.000119164,0.003667907,0.000867502,0.000196614
4399,0.004019554,0.000371513,0.018339537,0.002704565,0.00359109
4401,0.004095395,0.000410066,0.015411742,0.002985227,0.000676582
4402,0.00354239,0.000392542,0.001219008,0.002857653,0.000647668
4404,9.80E-05,0.001097014,0,0,0
4406,0.000600405,0,0.008032391,0,0.006731125
4407,0.000312843,0.003455769,0,0,0
4408,8.85E-05,0.000981354,0,0,0
4409,0.006395894,0.00171036,0.015346438,0.00477126,0.001081375
4410,0.000164321,0,0.005659679,0,0
4411,0.000366563,0.002285154,0.005539955,0,0
4570,0.001930776,0.000213795,0.000663924,0.0015564,0.000352748
4620,0.000432924,0.004812141,0,0,0
4679,6.32005E-05,0.000700967,0,0,0
4680,9.16408E-05,0,0.003178128,0,0
4682,0.000862687,0.009568204,0,0,0
4683,0.00115025,0.012771625,0,0,0
4765,0.000587765,0.006533016,0,0,0
4766,0.000132721,0.001482546,0,0,0
4767,0.000265442,0.002926539,0,0,0
4768,0.001305091,0.000143698,0.000446244,0.001046105,0.000237093
4802,9.48008E-05,0.001061966,0,0,0
4805,0.000568805,0.006291182,0,0,0
4807,5.37205E-05,0.000606337,0,0,0
4808,2.84402E-05,0.000322445,0,0,0
4889,0.002607022,0.000290901,0.000903372,0.002117725,0.000479969
4981,0.000189602,0.002102902,0,0,0
5031,0.000353923,0.000707977,0,0,0.005291219
3977,0.000252802,0,0.008739851,0,0
3978,0.000628845,7.00967E-05,0.00021768,0.000510295,0.000115655
3979,0.006860418,0.000757045,0.002350944,0.005511188,0.001833133
3982,0.009233599,0.003031684,0.011776486,0.007067589,0.002376712
3983,0.007195381,0.006403337,0.007379351,0.005051923,0.006228026
3992,0.011180175,0.001240712,0.003852935,0.009032225,0.002047095
3993,0.001617934,0.000178747,0.000555084,0.001301253,0.00029492
3994,0.001061769,0.000119164,0.000370056,0.000867502,0.000196614
3995,0.000180122,0.002004767,0,0,0
3996,4.42404E-05,0.000490677,0,0,0
3998,0.034194651,0.009897659,0.010601014,0.024851377,0.057636704
4001,0.002275219,2.52E-04,0.000783648,0.001837063,0.000416358
4002,0.002584902,0.000206785,0.000642156,0.001505371,0.01379765
4004,0.000758406,8.41161E-05,0.000261216,0.000612354,0.000138786
4005,0.001791735,0.015764755,0.012745162,0,0
4253,0.006373774,0.009904668,0.0019047,0.004465083,0.001011982
4254,0.002120378,0.002022291,0.000674808,0.001581915,0.000358531
4255,0.002221499,5.25726E-05,0.00016326,0.000382721,0.032123196
4256,0.008778555,0.000851675,0.002644812,0.006200087,0.021795198
4257,0.000407643,0.001177625,0,0,0.005528312
4258,0.004145955,0.000459134,0.001425804,0.003342434,0.000757541
4260,6.32005E-05,0,0,0,0.001144985
4262,0.000176962,0,0,0,0.003215211
4263,0.000199082,0,0,0,0.003660483
4270,0.039418176,0.01640614,0.012157426,0.034929707,0.06010594
4271,0.017354868,0.003462779,0.007194323,0.012578777,0.031654793
4275,8.21607E-05,0,0,0,0.001503516
4278,0.000129561,0.001436983,0,0,0
4280,0.001956057,0.000206785,0.000642156,0.001505371,0.002284188
4471,8.63E-04,9.46306E-05,0.000293868,0.000688899,0.000156134
4472,0.00113445,8.06112E-05,0.01423627,0.000586839,0.000133003
4473,0.003981634,0.001587691,0.001338732,0.003138316,0.000711279
4478,0.000325483,0,0.011221402,0,0
4480,8.84808E-05,0.000974345,0,0,0
4483,0.000274922,0.001612225,0.004505975,0,0
4487,0.001624254,0.00011566,0.010818694,0.000841987,0.005077258
4488,0.019816529,0.004878733,0.041108862,0.014926135,0.004712944
4492,0.000237002,1.44E-03,0.003667907,0,0
4493,0.001368292,0.00172438,0.04172925,0,0
4494,0.000553005,0.003613487,0.007825595,0,0
4498,0.000192762,0.001479041,0,0,0.001069809
4813,0.001741175,0.006901023,0.00032652,0.000765443,0.003273038
4814,0.003226387,0.014580121,0.000424476,0.057739903,0.000225527
4815,0.001361972,0.000883219,0.000446244,0.001046105,0.000237093
4816,0.000635165,0.000928782,0.000195912,0.000459266,0.00010409
4818,0.000764727,0.00847119,0,0,0
4819,0.001696934,0.000189261,0.000587736,0.001377797,0.000312269
4820,0.000224362,0.002502453,0,0,0
4821,0.000164321,0.001822515,0,0,0
5010,0.001415692,0.000147203,0.000457128,0.00107162,0.001711695
5012,0.0023321,0.001310809,0.000772764,0.001811548,0.000410575
5014,0.000723646,8.06112E-05,0.000250332,0.000586839,0.000133003
5016,0.000480324,5.25726E-05,0.00016326,0.000382721,8.67413E-05
5018,0.001301931,0.000143698,0.000446244,0.001046105,0.000237093
5027,0.000107441,0,0.003657023,0,0
5028,0.001004889,0.006389317,0,0,0.007824066
5029,0.011303416,0.021228796,0.0032652,0.007654428,0.001734826
5030,0.000116921,0.001286275,0,0,0
4265,0.001466252,0.001104024,0.000402708,0.000944046,0.003793486
4474,0.002973585,0.003757185,0.004179455,0.002066696,0.000468403
4475,0.004332397,0.001184635,0.00146934,0.003444493,0.000780672
4476,0.000587765,0.002435861,0.012690742,0,0
4477,0.000660446,0.00085518,0.008663663,0.000280662,6.36103E-05
4809,0.00470528,0.012421141,0.004821611,0.007552369,0.002122271
4810,0.000208562,0.000511706,0,0,0.002978118
4811,0.001921296,0.008713024,0.000370056,0.000867502,0.001815785
4812,1.35E-02,0.008667461,0.013430854,0.010154875,0.002301536
5019,0.011050614,0.002993131,0.010241842,0.008445386,0.006291636
5021,0.003908953,0.0004346,0.001349616,0.00316383,0.000717061
5022,1.14E-04,0.001275761,0,0,0
5023,0.001649534,0.002299173,0.000500664,0.001173679,0.000266007
5024,0.007767346,0.009154633,0.011319358,0.005102952,0.008847613
5025,0.002742903,0.002873966,0.000859836,0.002015666,0.000456838
5026,0.020189412,0.007973503,0.01380091,0.019161585,0.007633235
5032,0.02461661,0.027172999,0.007694987,0.018038936,0.004892209
5033,0.006696097,0.007994532,0.002078844,0.004873319,0.001104506
5035,0.001333531,0.000147203,0.000457128,0.00107162,0.000242876
5036,0.001532613,0.000928782,0.000500664,0.001173679,0.000266007
