coefficient_name,value,constrain
coef_nest_root,1,T
coef_nest_GROUND,0.65,T
coef_nest_TRANSIT,0.5,T
coef_nest_HSR,0.5,T
coef_ivt_hh,-0.005,F
coef_ivt_work,-0.01,F
coef_ivt_other,-0.005,F
coef_wacc_time_hh,-0.01,F
coef_wacc_time_work,-0.02,F
coef_wacc_time_other,-0.01,F
coef_dracc_time_hh,-0.01,F
coef_dracc_time_work,-0.02,F
coef_dracc_time_other,-0.01,F
coef_wt_upto_60min_hh,-0.01,F
coef_wt_upto_60min_work,-0.02,F
coef_wt_upto_60min_other,-0.01,F
coef_wt_gt_60min_hh,-0.0025,F
coef_wt_gt_60min_work,-0.005,F
coef_wt_gt_60min_other,-0.0025,F
coef_cost_inc_0to20k_hh,-0.0012,F
coef_cost_inc_0to20k_work,-0.0008,F
coef_cost_inc_0to20k_other,-0.0012,F
coef_cost_inc_20kto60k_hh,-0.00045,F
coef_cost_inc_20kto60k_work,-0.0003,F
coef_cost_inc_20kto60k_other,-0.00045,F
coef_cost_inc_gt60k_hh,-0.0023,F
coef_cost_inc_gt60k_work,-0.00015,F
coef_cost_inc_gt60k_other,-0.00023,F
coef_daily_freq_service_hh,0.05,F
coef_daily_freq_service_work,0.1,F
coef_daily_freq_service_other,0.05,F
coef_air_hh,6.313,F
coef_air_work,5.24,F
coef_air_other,4.69,F
coef_compound_hh,-1.924,F
coef_compound_work,-3.782,F
coef_compound_other,-2.388,F
