coefficient_name,value,constrain
coef_constant,-3.032,F
coef_hhworkers_1,-0.336,F
coef_hhworkers_2,-0.348,F
coef_hhworkers_3_up,-1.149,F
coef_hhautos_1,0,F
coef_hhautos_2,0,F
coef_hhautos_3_up,0,F
coef_hhsize_2,0,F
coef_hhsize_3,-0.589,F
coef_hhsize_4_up,-1.07,F
coef_hhincome_20k_40k,0.387,F
coef_hhincome_40k_60k,0.746,F
coef_hhincome_60k_up,1.248,F
coef_single_family_dwelling,0.254,F
coef_hhstudents,0,F
coef_occupation_farming,0,F
coef_occupation_manufacturing,-0.297,F
coef_occupation_transportation,-0.366,F
coef_occupation_wholesale,0,F
coef_occupation_finance,0,F
#coef_occupation_profsci,-0.3169,F
coef_occupation_other,-0.181,F
coef_college_student,-0.242,F
coef_male,0,F
coef_age,0,F
coef_accessibility,-1.63,F
#
#     ASIM generates far too many household tours
#     ASIM generates far too few work-related
#     other trips is about ok
# Variable	        HOUSEHOLD	WORKRELATED	OTHER
# constant	        -5	        -8.497	    -2.4771
# worker_1	        -0.3364	    0	        0
# worker_2	        -0.3476	    -0.2928	    0
# worker_3	        -1.1494	    -0.3462	    0
# auto_1	        0	        0	        0.4219
# auto_2	        0	        0	        0.6063
# auto_3	        0	        0	        0.8464
# size_2	        0	        0	        -1.1499
# size_3	        -0.589152	0	        -0.8983
# size_4	        -1.07161	0	        -0.8096
# income_2	        0.3869	    0       	0.2889
# income_3	        0.7464	    0       	0.4171
# income_4	        1.248	    0.581   	0.695
# singleFamily	    0.2545	    0	        -0.1606
# students_3	    0	        0.2764	       0
# occ_ag_farm_mine	0	        0	        -0.6357
# occ_manufactur	-0.2972	    -0.4299	    -0.4735
# occ_trans_comm	-0.3656	    0	        -0.3722
# occ_wholesale	    0	        0.8844	    0
# occ_finance_re	0	        0.7778	    0
# occ_other	         -0.1808	0	        -0.1005
# occ_prof_sci  	-0.3169	    0	        -0.1601
# schtype_college	-0.2415	    0	        0.4552
# male	            0	        0.806	    0
# age	            0	        0.1003	    0.0512
# age_sq	        0	        -0.001	    -0.0005
# DC_LogsumLT50	    -1.630768	0	        -1.070416
# household_LDTrip	0	        -0.8422	    -0.3235
