coefficient_name,value,constrain
coef_worktravel_constant,-6.152,F
coef_worktravel_hhworkers_1,0,F
coef_worktravel_hhworkers_2,-0.293,F
coef_worktravel_hhworkers_3_up,-0.346,F
coef_worktravel_hhautos_1,0,F
coef_worktravel_hhautos_2,0,F
coef_worktravel_hhautos_3_up,0,F
coef_worktravel_hhsize_2,0,F
coef_worktravel_hhsize_3,0,F
coef_worktravel_hhsize_4_up,0,F
coef_worktravel_hhincome_20k_40k,0,F
coef_worktravel_hhincome_40k_60k,0,F
coef_worktravel_hhincome_60k_up,0.581,F
coef_worktravel_single_family_dwelling,0,F
coef_worktravel_hhstudents,0.276,F
coef_worktravel_occupation_farming,0,F
coef_worktravel_occupation_manufacturing,-0.43,F
coef_worktravel_occupation_transportation,0,F
coef_worktravel_occupation_wholesale,0,F
coef_worktravel_occupation_finance,0,F
coef_worktravel_occupation_other,0,F
coef_worktravel_college_student,-0.242,F
coef_worktravel_male,0,F
coef_worktravel_age,0.1,F
coef_worktravel_age_squared,-0.001,F
coef_othertravel_constant,-1.23,F
coef_othertravel_hhworkers_1,0,F
coef_othertravel_hhworkers_2,0,F
coef_othertravel_hhworkers_3_up,0,F
coef_othertravel_hhautos_1,0.422,F
coef_othertravel_hhautos_2,0.606,F
coef_othertravel_hhautos_3_up,0.846,F
coef_othertravel_hhsize_2,-1.15,F
coef_othertravel_hhsize_3,-0.898,F
coef_othertravel_hhsize_4_up,-0.81,F
coef_othertravel_hhincome_20k_40k,0.289,F
coef_othertravel_hhincome_40k_60k,0.417,F
coef_othertravel_hhincome_60k_up,0.695,F
coef_othertravel_single_family_dwelling,-0.161,F
coef_othertravel_hhstudents,0,F
coef_othertravel_occupation_farming,-0.636,F
coef_othertravel_occupation_manufacturing,-0.474,F
coef_othertravel_occupation_transportation,-1.23,F
coef_othertravel_occupation_wholesale,2.286,F
coef_othertravel_occupation_finance,3.764,F
coef_othertravel_occupation_other,-0.101,F
coef_othertravel_college_student,0,F
coef_othertravel_male,0.806,F
coef_othertravel_age,0.051,F
coef_othertravel_age_squared,-0.001,F
